"","merged$usertype","merged$day_of_week","merged$tripduration"
"1","Customer","domenica",3370.84475170262
"2","Subscriber","domenica",923.837496731592
"3","Customer","lunedì",3269.73339967878
"4","Subscriber","lunedì",854.650989581063
"5","Customer","martedì",3444.55481360329
"6","Subscriber","martedì",848.874442935466
"7","Customer","mercoledì",3619.96361914313
"8","Subscriber","mercoledì",828.310429172306
"9","Customer","giovedì",3596.78644990727
"10","Subscriber","giovedì",826.503880554101
"11","Customer","venerdì",3610.35137566967
"12","Subscriber","venerdì",833.580097862861
"13","Customer","sabato",3243.56870265698
"14","Subscriber","sabato",977.914048815481
